Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2025-01-10,Groceries,Credit Card,Serve usually identify.,422.34,0.0
2025-01-03,Food,UPI,Yard pattern fish interview key different.,220.88,11.07
2025-01-10,Entertainment,UPI,Manage five recently property trouble common.,74.17,0.04
2025-01-19,Bills,Debit Card,Trial analysis yourself beat.,220.84,0.0
2025-01-16,Subscriptions,UPI,Where remember American lead.,30.94,0.0
2025-01-04,Miscellaneous,Cash,Bar ask thousand once space whatever.,89.09,0.0
2025-01-06,Entertainment,NetBanking,Along phone maybe social throughout.,250.7,16.71
2025-01-09,Entertainment,Cash,Note move sister pressure blood identify.,47.3,0.0
2025-01-02,Transportation,Credit Card,On court offer thought play food.,84.63,0.0
2025-01-16,Groceries,Credit Card,Between majority huge box officer.,111.5,6.52
2025-01-09,Transportation,Cash,Everything high tend then.,279.51,0.0
2025-01-27,Miscellaneous,Credit Card,Political table outside front travel teach.,424.92,12.48
2025-01-08,Entertainment,UPI,Doctor tonight accept.,436.62,0.0
2025-01-22,Entertainment,Credit Card,Phone second audience large.,142.03,12.61
2025-01-01,Food,Credit Card,Treatment with modern make carry race.,12.06,0.0
2025-01-07,Subscriptions,Cash,Manage piece product enter.,244.39,9.23
2025-01-21,Groceries,Credit Card,Middle art middle try.,351.25,0.0
2025-01-27,Miscellaneous,NetBanking,Could tough consider.,462.55,0.0
2025-01-19,Miscellaneous,Cash,Sense fight high science.,214.69,0.0
2025-01-12,Food,Credit Card,Fall fast position three lead vote.,265.02,0.0
2025-01-02,Miscellaneous,Credit Card,Thought safe suddenly.,495.22,0.0
2025-01-01,Miscellaneous,UPI,Audience government serve forward truth.,331.26,0.0
2025-01-19,Subscriptions,Cash,Opportunity beat medical even give such.,301.36,0.0
2025-01-27,Groceries,Cash,Order ready white part sport.,23.93,0.0
2025-01-07,Miscellaneous,NetBanking,Law subject administration information realize next what.,432.07,0.0
2025-01-25,Bills,UPI,Report general tell mention office pick.,89.69,0.0
2025-01-13,Miscellaneous,UPI,Protect admit prevent likely.,409.73,12.29
2025-01-03,Miscellaneous,Debit Card,Bill week cost.,206.68,6.82
2025-01-15,Food,Cash,Card military win two its break.,20.41,1.81
2025-01-21,Transportation,UPI,Charge during same toward middle bring.,421.18,17.36
2025-01-11,Miscellaneous,UPI,Begin article suggest.,343.93,18.33
2025-01-09,Bills,UPI,Real record throw clearly out.,388.18,9.46
2025-01-05,Entertainment,Credit Card,Clearly part material above weight.,182.29,0.0
2025-01-26,Groceries,Cash,Happy generation road share reveal.,99.65,0.0
2025-01-22,Groceries,NetBanking,Follow more power.,226.48,0.0
2025-01-19,Bills,Credit Card,Run door service.,406.14,5.81
2025-01-19,Groceries,Cash,Issue artist with would charge spend.,350.4,0.31
2025-01-19,Transportation,Debit Card,Manager cold business individual fund behind.,248.17,0.0
2025-01-21,Miscellaneous,Debit Card,Answer weight available direction I tell.,335.9,0.0
2025-01-19,Bills,Credit Card,The example professional.,227.68,10.93
2025-01-21,Subscriptions,UPI,Start generation risk show.,229.77,4.62
2025-01-17,Miscellaneous,NetBanking,First half value oil.,317.86,0.0
2025-01-27,Transportation,Credit Card,Particularly control quickly.,258.33,0.0
2025-01-03,Bills,Credit Card,Use attack item.,170.34,0.0
2025-01-05,Bills,NetBanking,Each game why himself worker.,264.33,0.0
2025-01-01,Subscriptions,Debit Card,Prove police tax.,457.54,0.0
2025-01-15,Entertainment,NetBanking,Minute result despite bank.,327.35,0.0
2025-01-12,Transportation,Credit Card,Time ask use.,221.51,2.04
2025-01-22,Entertainment,NetBanking,Beautiful my catch.,316.15,16.88
2025-01-17,Bills,Debit Card,Which finish court teach young science.,79.44,1.86
2025-01-21,Subscriptions,Credit Card,Success woman receive skin participant.,244.77,0.0
2025-01-22,Subscriptions,Credit Card,Degree how serve.,228.22,0.0
2025-01-07,Transportation,Credit Card,Everybody matter score institution push.,315.42,0.0
2025-01-09,Entertainment,Debit Card,Series from bit especially drop.,142.42,6.12
2025-01-13,Entertainment,UPI,Push free concern health relate.,212.29,0.0
2025-01-23,Transportation,Debit Card,Company send quality cell type.,34.0,0.0
2025-01-19,Bills,NetBanking,Learn whether born open.,30.12,0.0
2025-01-15,Entertainment,Credit Card,Able power family window act give.,420.95,13.99
2025-01-12,Food,UPI,Late notice early court yeah big.,477.22,16.58
2025-01-09,Miscellaneous,Debit Card,Respond at consider.,218.48,1.26
2025-01-06,Groceries,Debit Card,Admit move much interest physical drive.,356.06,14.06
2025-01-27,Food,Cash,Weight cover last feel.,492.84,12.67
2025-01-24,Groceries,NetBanking,Room through company subject.,259.45,12.68
2025-01-14,Groceries,Credit Card,Good past white.,247.9,0.0
